15 11
5.6972  -17.5280   13.1551   -5.5725    0.9828   -1.6214  -24.2027  -14.8229    0.2937   11.5921    2.7879
-9.6691   11.1875   -6.7350    3.4865    6.3028    1.1427   11.8546   14.4953    0.8152   -1.3830    2.5916
-7.0852    1.2815   -0.3515  -10.8851   -3.2148   -4.1901    0.4488   12.7826  -10.8331   10.2689  -10.1620
-0.8745   15.9696  -12.3395    6.0064    6.2767   -3.6043  -14.4193   -8.6192  -12.7801   -2.1958    1.5269
-1.7193   10.0679    3.2034    4.1302   -2.1163    4.5446    6.9047  -10.5656   -7.3398   -4.7646   26.4121
8.3479    8.4772    5.1493  -15.2429   -2.8802   -4.7751    7.3163    9.6673   -3.6881   -8.4976    4.9634
-2.9472   -3.4525    5.6938   -3.1112    3.4210    1.1854   18.9163   10.6458   -0.2328   13.3662   14.6653
10.6060    8.7940   -0.0402   16.3679    9.7972   -4.1919   -2.1713    9.1301  -13.0007   15.4546    2.8895
3.4486   -3.9432    6.1175  -20.0254   -3.4268   -4.8455   -2.0895    0.2666   -7.0681   10.7287   -3.8472
2.6097    2.7084   -4.9017   -6.5613   16.4725   17.5187  -11.3878    3.1238   -4.7487   -1.3759   -2.0661
24.8653   -0.6445  -17.2718  -15.7200  -12.4425   18.8120  -25.8543    4.6792  -10.6661   13.4950  -14.2159
13.9208    3.2481   -5.5729  -10.5108  -21.2468    1.8039   -7.0974   -4.3009    9.9455   -1.0518   -7.7694
5.8858   23.4495    8.0213  -16.5380    2.2555    7.9631   11.3787   19.5480    5.1505    2.1118    8.3501
10.7162   -1.4404   15.0391    3.6942  -23.2107   12.5432  -10.8083   -9.3377   -3.4951   -0.3277    5.7092
-2.4709   -4.0089    9.1966   -9.3618  -28.9750  -15.8532    2.3222   -7.3837   15.8556   -4.3652   -1.7625
